x;H
108121.15452424964;25.48
107914.11534693517;25.48
107706.07942727912;25.47
107486.1866178392;25.46
107275.81681230551;25.42
107081.87221021026;25.38
106882.33146477985;25.33
106679.20508371352;25.26
106479.1554705296;25.2
106279.04717551592;25.12
106084.32206029398;25.05
105875.61561184435;24.99
105685.71821122596;24.95
105478.40289641307;24.9
105271.79754966401;24.87
105070.77769109161;24.82
104871.74311583405;24.74
104669.46951342393;24.68
104462.19117275372;24.63
104259.71196066713;24.58
104033.7609433546;24.52
103856.14710262034;24.46
103652.23491973683;24.36
103442.51982389993;24.19
103253.19710416923;24.13
103048.62661919431;24.04
102850.6404363865;23.99
102641.50091449861;23.95
102435.04961931054;23.93
102231.98707024113;23.91
102036.15705677826;23.86
101831.41876475327;23.78
101630.36349474615;23.54
101427.19723244454;23.29
101214.2440560049;23.19
101023.35654253466;23.12
100832.67060120395;23.06
100600.40248422307;22.99
100400.98616850462;22.91
100210.17856160813;22.77
99993.39943189504;22.63
99782.24601760654;22.54
99568.67293619807;22.48
99364.38092664428;22.45
99175.37515558959;22.39
98967.99799808217;22.29
98774.04944408263;22.23
98554.1686423279;22.19
98352.26011822333;22.17
98150.22813654332;22.15
97952.20269836477;22.12
97738.48882119349;22.09
97543.83677386196;22.06
97325.66832304087;22.01
97123.39298213049;21.96
96914.73693434216;21.95
96709.75700107781;21.95
96505.84950097278;21.94
96306.06850171748;21.92
96067.99539185771;21.9
95873.08135892142;21.89
95673.60931296455;21.87
95469.18247144553;21.85
95260.37688885283;21.82
95064.37890758106;21.75
94865.6812825292;21.63
94655.0549311599;21.53
94460.01990929098;21.46
94255.1569856772;21.43
94048.86875223566;21.4
93847.70533865973;21.34
93648.5901052762;21.25
93434.41305816386;21.21
93235.73753984402;21.19
93031.37108478557;21.18
92831.77024458504;21.17
92621.37041416287;21.15
92418.66014006491;21.14
92220.473897699;21.12
92023.26960264653;21.02
91825.76164860398;20.96
91614.3107749459;20.94
91409.89761848672;20.92
91214.20699707582;20.9
91025.66522605636;20.87
90814.88765748727;20.83
90612.60323025243;20.79
90417.77912713533;20.69
90208.91249283723;20.55
89994.5946449988;20.41
89806.32114483335;20.27
89603.35216570667;20.18
89395.77346254149;20.14
89191.71919077772;20.1
88983.99067177714;20.06
88767.28062879015;20.02
88551.7373431478;19.96
88353.34598345862;19.84
88155.01189434007;19.66
87939.22946483304;19.57
87738.85300688067;19.46
87548.18970427905;19.35
87343.17108264081;19.24
87135.28291242216;19.15
86943.43699816705;19.07
86725.8243656867;19.03
86497.23963484165;19.01
86301.80981060657;19.0
86102.82880803148;18.99
85889.29066501395;18.98
85689.03576424363;18.96
85498.7244022766;18.95
85295.8020006582;18.94
85087.0058490808;18.94
84902.72090590364;18.9
84685.03116537064;18.77
84491.11614183504;18.72
84291.6944430626;18.65
84082.7005267562;18.62
83880.26709421571;18.6
83677.9146910962;18.56
83484.41608225956;18.49
83280.46251366951;18.41
83061.43938466065;18.3
82853.26311457087;18.21
82664.94269834478;18.1
82457.43641119366;18.0
82242.92079972781;17.96
82041.37979996666;17.92
81834.97769483324;17.82
81645.93397705234;17.73
81444.96084409457;17.69
81229.54409445252;17.65
81017.53104656699;17.61
80815.59606827261;17.58
80618.28388994402;17.55
80417.55062606308;17.51
80212.04507081388;17.47
80010.84746331735;17.43
79815.98599083316;17.4
79609.16402653075;17.38
79406.80267183331;17.37
79208.89766833498;17.35
78995.08616888711;17.32
78806.40632573108;17.28
78606.19306496644;17.2
78400.95911683384;17.11
78195.23986610692;17.07
77997.34131314767;17.05
77786.60569946448;17.04
77589.43334885598;17.02
77369.23582229242;16.99
77188.69644939872;16.92
76977.99627953143;16.89
76766.57250351268;16.88
76561.29938219379;16.87
76369.32629072267;16.87
76161.33179303205;16.85
75956.30284732589;16.81
75770.43882367661;16.69
75555.42049351652;16.55
75336.16823362827;16.46
75148.096132914;16.43
74951.35426813428;16.4
74756.56906431382;16.33
74549.38540694793;16.27
74340.92255619832;16.22
74142.72611065881;16.18
73939.07001159499;16.1
73743.6979272116;15.98
73531.35270091376;15.78
73336.60288039665;15.73
73134.77292550975;15.71
72898.81362412908;15.69
72667.87771357587;15.7
72422.4816088658;15.7
72204.25999746987;15.69
71980.26093361794;15.69
71754.85081015146;15.67
71569.25112913165;15.64
71361.34782786152;15.58
71155.60781042321;15.46
70961.04371536488;15.38
70744.11298946192;15.34
70543.9490777264;15.3
70343.4869675722;15.25
70121.15731102187;15.22
69921.38622743772;15.2
69735.67668573727;15.18
69511.48359740914;15.15
69311.96258061164;15.13
69068.66623018302;15.1
68879.53456334135;15.07
68692.68467250616;15.01
68495.0164459829;14.95
68310.18326322702;14.93
68102.7889051948;14.9
67893.13279711688;14.9
67695.34065930899;14.88
67501.7291684125;14.87
67288.97074933471;14.86
67091.85900193194;14.86
66888.0372845981;14.86
66689.13870859452;14.85
66495.26331429924;14.84
66297.45340623807;14.83
66087.91989790623;14.82
65890.26011947524;14.8
65691.91502512747;14.77
65494.857165697525;14.73
65287.90614187393;14.7
65093.01766236847;14.69
64872.02651546993;14.66
64635.53255166537;14.62
64459.64808468369;14.58
64244.56374103838;14.55
64032.67129056157;14.52
63833.780798645894;14.5
63613.62438240458;14.48
63427.80038927242;14.47
63213.553338404;14.46
63032.57097339869;14.45
62800.15575751432;14.38
62607.62819950386;14.37
62413.56879220708;14.36
62195.83177948692;14.35
61997.91437139803;14.32
61799.801549747004;14.23
61584.9672058032;13.98
61369.86417314477;13.89
61193.114678129554;13.82
60986.19117080445;13.8
60774.39220705899;13.79
60581.402592988816;13.76
60375.93430202911;13.73
60176.733967578315;13.69
59982.478044196876;13.64
59770.22986696848;13.62
59563.56727550505;13.59
59367.859940255425;13.56
59161.782067956156;13.55
58948.65020893303;13.5
58726.458987214224;13.48
58509.19677182444;13.38
58281.037950703365;13.12
58048.70076860678;13.11
57848.65847915516;13.1
57617.5553802479;13.07
57369.29588894088;13.01
57177.633627021205;12.91
56963.13991289926;12.82
56750.214897538186;12.74
56542.3874697024;12.59
56357.588341491995;12.57
56135.43107074461;12.56
55900.790597481886;12.54
55663.53688663624;12.53
55455.366457028504;12.52
55232.093421419355;12.51
55022.31603871433;12.49
54842.57619915997;12.47
54641.99310636922;12.45
54431.778287946814;12.44
54232.42579877567;12.4
54020.237377897225;12.37
53820.61950124451;12.35
53630.615910955574;12.33
53430.0522782632;12.32
53220.35925663663;12.31
53018.82927302607;12.29
52823.684131686765;12.28
52633.91484262128;12.27
52431.78807177677;12.22
52225.100620248064;12.15
52018.3031893313;12.12
51826.87175268617;12.09
51617.27445521703;12.07
51410.99666195204;12.06
51212.31533078468;12.05
51009.044099937615;12.03
50806.250439000476;12.02
50609.913270080026;12.01
50407.45633895804;11.99
50195.36248983166;11.97
49993.97682220294;11.95
49791.88631283319;11.93
49582.75427056759;11.91
49398.21700118507;11.9
49210.081537141945;11.87
48996.79402686487;11.85
48793.76459019029;11.83
48596.62330639857;11.82
48398.294076843085;11.78
48203.59927809972;11.76
47975.722077523766;11.72
47787.52737240073;11.71
47581.63388506838;11.7
47368.593671181705;11.68
47168.60849711718;11.69
46966.48099016545;11.67
46755.14125512667;11.63
46567.99030337061;11.59
46335.21948177229;11.55
46137.69460506481;11.52
45938.94560160351;11.5
45728.917609276235;11.49
45499.50403881367;11.48
45291.519372297116;11.47
45090.30558403552;11.43
44901.45980164778;11.41
44705.12067225919;11.39
44499.13331710677;11.37
44287.42454626069;11.37
44077.7740402989;11.35
43883.906193973264;11.33
43666.909762835785;11.32
43465.0594088183;11.31
43276.78450840882;11.29
43068.939548099894;11.28
42872.23248078828;11.27
42672.845650704636;11.25
42470.80361114035;11.24
42264.97209071477;11.22
42066.22348764462;11.21
41868.5284580837;11.2
41662.51907111899;11.18
41457.19416272592;11.17
41258.87666828417;11.15
41052.37217265993;11.14
40849.99188100292;11.12
40657.362326180984;11.12
40455.060624003105;11.1
40245.76577224146;11.08
40055.27876715563;11.08
