x;W
119138.58188897684;102.726632
118943.97413298677;119.788481
118732.17164991815;120.62946
118524.36242343344;138.866716
118343.13154856843;149.342415
118138.88132686233;132.522721
117926.28955732481;125.778322
117719.52047013622;134.366444
117525.27236964833;141.883693
117315.12226841916;141.236459
117099.19506217827;154.809711
116884.66009591258;157.620711
116710.80073918033;182.422994
116504.34795194505;156.948938
116303.44332685784;153.125994
116071.94004085244;137.176893
115888.5502837764;133.293261
115683.11580717521;116.668514
115473.0263167136;122.909653
115276.79922144147;147.24523
115088.02579826077;140.730587
114862.22617018905;123.949097
114663.27779162985;166.734584
114469.88485102697;195.914209
114271.21547324483;187.641666
114065.13969166318;169.033769
113858.02310173289;195.670208
113661.78455700561;171.860034
113453.55207004555;166.149132
113244.58622162032;163.92309
113036.34279987634;195.195747
112843.59084281555;187.613301
112637.0097516533;138.294698
112433.01089397479;131.095024
112218.8021117101;203.456439
112029.36520658643;199.596023
111815.83096858356;143.377492
111618.6137823925;150.27583
111420.24052070545;129.006365
111218.52789945513;139.022574
111016.39645511977;151.603141
110796.78825409139;137.361211
110574.16699910577;128.84108
110352.50997803695;103.280098
110165.09460011328;113.876395
109959.23860102953;159.672553
109763.88711348787;229.253185
109572.4007806061;232.591711
109374.3813730129;162.988989
109162.16780022561;137.6776
108948.58040172588;99.297602
108707.76957045095;129.919196
108529.0121452573;151.915017
108345.97819774231;139.448294
108121.15452424964;158.899773
107914.11534693517;157.851136
107706.07942727912;114.821483
107486.1866178392;148.548704
107275.81681230551;158.452719
107081.87221021026;182.616673
106882.33146477985;190.812771
106679.20508371352;185.429463
106479.1554705296;176.82899
106279.04717551592;196.702088
106084.32206029398;149.914779
105875.61561184435;163.84855
105685.71821122596;158.899384
105478.40289641307;161.428625
105271.79754966401;171.314693
105070.77769109161;173.409881
104871.74311583405;165.858309
104669.46951342393;155.139721
104462.19117275372;145.098977
104259.71196066713;138.779608
104033.7609433546;126.300006
103856.14710262034;156.048773
103652.23491973683;131.467624
103442.51982389993;179.373462
103253.19710416923;180.265803
103048.62661919431;170.737402
102850.6404363865;172.330471
102641.50091449861;165.07599
102435.04961931054;161.372991
102231.98707024113;180.741976
102036.15705677826;199.251856
101831.41876475327;198.459343
101630.36349474615;147.172433
101427.19723244454;153.444537
101214.2440560049;156.278216
101023.35654253466;205.336691
100832.67060120395;201.295269
100600.40248422307;225.474447
100400.98616850462;240.357753
100210.17856160813;197.520139
99993.39943189504;145.445517
99782.24601760654;127.925049
99568.67293619807;135.906884
99364.38092664428;150.149776
99175.37515558959;151.796826
98967.99799808217;148.552151
