x;H
69311.96258061164;14.61886
69068.66623018302;15.178924
68879.53456334135;15.46303
68692.68467250616;15.3168
68495.0164459829;14.84377
68310.18326322702;15.118955
68102.7889051948;15.145191
67893.13279711688;15.182438
67695.34065930899;15.102659
67501.7291684125;15.493341
67288.97074933471;15.55764
67091.85900193194;14.76588
66888.0372845981;15.19929
66689.13870859452;14.916208
66495.26331429924;15.030365
66297.45340623807;15.331213
66087.91989790623;15.084676
65890.26011947524;15.600494
65691.91502512747;15.220765
65494.857165697525;15.312256
65287.90614187393;14.977105
65093.01766236847;14.880091
64872.02651546993;14.609255
64635.53255166537;15.272516
64459.64808468369;14.952354
64244.56374103838;14.728418
64032.67129056157;15.025275
63833.780798645894;14.914138
63613.62438240458;14.718325
63427.80038927242;14.880104
63213.553338404;14.791043
63032.57097339869;14.703868
62800.15575751432;14.293375
62607.62819950386;14.483888
62413.56879220708;14.335007
62195.83177948692;14.7815
61997.91437139803;14.324246
61799.801549747004;14.739762
61584.9672058032;14.137609
61369.86417314477;14.358281
61193.114678129554;14.140694
60986.19117080445;13.950056
60774.39220705899;14.322974
60581.402592988816;14.073065
60375.93430202911;14.044647
60176.733967578315;14.060093
59982.478044196876;14.532233
59770.22986696848;14.511548
59563.56727550505;13.958657
59367.859940255425;14.038883
59161.782067956156;14.0944
58948.65020893303;13.671133
58726.458987214224;13.515136
58509.19677182444;13.570837
58281.037950703365;13.422964
58048.70076860678;13.200968
57848.65847915516;13.625782
57617.5553802479;13.47316
57369.29588894088;12.72688
57177.633627021205;13.215526
56963.13991289926;12.925192
56750.214897538186;13.217081
56542.3874697024;12.998782
56357.588341491995;13.067631
56135.43107074461;13.15956
55900.790597481886;12.902932
55663.53688663624;12.969084
55455.366457028504;13.035784
55232.093421419355;12.770415
55022.31603871433;12.596371
54842.57619915997;12.867526
54641.99310636922;12.894444
54431.778287946814;12.6784
54232.42579877567;12.707737
54020.237377897225;12.285605
53820.61950124451;12.402895
53630.615910955574;12.478272
53430.0522782632;12.723802
53220.35925663663;12.734107
53018.82927302607;12.256611
52823.684131686765;12.527291
52633.91484262128;12.444579
52431.78807177677;12.560327
52225.100620248064;12.094598
52018.3031893313;12.462783
51826.87175268617;12.234497
51617.27445521703;12.523586
51410.99666195204;12.872555
51212.31533078468;11.485818
51009.044099937615;12.144759
50806.250439000476;12.276103
50609.913270080026;12.276343
50407.45633895804;12.305144
50195.36248983166;12.662387
49993.97682220294;12.252251
49791.88631283319;12.247352
49582.75427056759;11.858367
49398.21700118507;11.79651
49210.081537141945;11.988483
48996.79402686487;12.00227
48793.76459019029;11.864839
48596.62330639857;12.32372
48398.294076843085;11.816732
48203.59927809972;12.133058
47975.722077523766;11.855142
47787.52737240073;11.363582
47581.63388506838;11.405125
47368.593671181705;11.932079
47168.60849711718;11.96229
46966.48099016545;12.110234
46755.14125512667;12.241319
46567.99030337061;12.172121
46335.21948177229;12.19103
